,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core, Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Screen_Size_inch,Price-binned,Screen-Full_HD,Screen-IPS_panel
153,153,Toshiba,3,2,1,7,15.0,0.86,8,256,4.85,1777,15.0,Medium,False,True
154,154,Dell,3,1,2,5,15.6,0.86,4,128,4.81,723,15.6,Low,True,False
155,155,Lenovo,3,2,1,5,14.0,0.79,8,256,3.64,1861,14.0,Medium,True,False
156,156,Dell,3,3,1,7,15.6,0.97,8,256,4.41,2312,15.6,Medium,True,False
157,157,Lenovo,3,2,1,5,15.6,0.55,4,256,3.97,1053,15.6,Low,True,False
158,158,Acer,4,2,1,5,14.0,0.86,8,256,3.97,1167,14.0,Low,False,True
159,159,Razer,1,3,1,7,14.0,0.97,16,256,4.3,3301,14.0,High,True,False
160,160,Toshiba,3,2,1,5,13.3,0.79,8,256,2.65,1541,13.3,Low,True,False
161,161,Lenovo,4,2,1,7,12.0,0.93,8,256,3.0,2012,12.0,Medium,False,True
162,162,Dell,4,2,1,5,13.3,0.55,8,256,2.65,1842,13.3,Medium,True,False
163,163,Dell,3,1,1,7,15.6,0.62,8,256,4.85,1167,15.6,Low,True,False
164,164,Dell,3,2,1,5,14.0,0.83,8,256,3.44,1561,14.0,Low,True,False
165,165,Toshiba,3,2,1,5,15.0,0.86,8,256,4.41,1598,15.0,Low,False,True
166,166,Asus,4,2,1,5,14.0,0.86,8,256,2.43,1442,14.0,Low,True,False
167,167,Acer,1,3,1,5,15.6,0.86,16,256,5.51,1650,15.6,Medium,True,False
168,168,MSI,1,3,1,5,15.6,0.86,8,256,4.85,1268,15.6,Low,True,False
169,169,HP,3,1,1,3,17.0,0.69,4,256,5.51,888,17.0,Low,False,True
170,170,Lenovo,3,2,1,5,14.0,0.86,4,256,3.75,888,14.0,Low,True,False
171,171,Toshiba,3,2,1,5,13.0,0.86,8,256,3.31,1236,13.0,Low,False,True
172,172,Dell,3,2,1,5,15.6,0.86,8,256,4.81,1010,15.6,Low,True,False
173,173,Lenovo,3,2,1,5,14.0,0.79,8,256,3.97,1513,14.0,Low,True,False
174,174,Dell,3,3,2,5,14.0,0.97,8,256,3.62,1383,14.0,Low,True,False
175,175,Lenovo,3,3,1,5,14.0,0.86,8,256,4.12,1089,14.0,Low,False,True
176,176,Dell,3,2,1,5,15.6,0.9,8,256,4.19,1498,15.6,Low,True,False
177,177,HP,3,3,1,7,17.3,0.93,8,256,5.8,1524,17.3,Low,True,False
178,178,Lenovo,4,2,1,5,14.0,0.86,8,256,2.91,1904,14.0,Medium,False,True
179,179,Lenovo,3,2,1,5,13.0,0.86,8,256,3.18,1219,13.0,Low,False,True
180,180,HP,5,3,1,7,15.6,0.97,16,256,5.73,3073,15.6,High,True,False
181,181,Toshiba,3,2,1,5,14.0,0.86,8,256,2.76,1950,14.0,Medium,False,True
182,182,Samsung,4,2,1,7,13.3,0.93,16,256,1.79,2095,13.3,Medium,True,False
